date,pm25,no2
2017-03-10,43,18
2017-03-11,42,8
2017-03-12,48,6
2017-03-13,58,15
2017-03-14,52,14
2017-03-15,43,11
2017-03-16,40,14
2017-03-17,38,22
2017-03-18,44,11
2017-03-19,30,8
2017-03-20,31,21
2017-03-21,43,23
2017-03-22,46,13
2017-03-23,40,16
2017-03-24,42,27
2017-03-25,52,19
2017-03-26,41,20
2017-03-27,48,13
2017-03-28,32,13
2017-03-29,35,13
2017-03-30,31,15
2017-03-31,39,7
2017-04-01,37,11
2017-04-02,46,22
2017-04-03,38,10
2017-04-04,35,12
2017-04-05,31,13
2017-04-06,20,11
2017-04-07,35,6
2017-04-08,31,10
2017-04-09,33,18
2017-04-10,42,16
2017-04-11,58,15
2017-04-12,57,12
2017-04-13,36,19
2017-04-14,34,11
2017-04-15,41,5
2017-04-16,47,8
2017-04-17,33,6
2017-04-18,24,12
2017-04-19,37,12
2017-04-20,40,8
2017-04-21,29,9
2017-04-22,34,7
2017-04-23,29,14
2017-04-24,30,10
2017-04-25,26,19
2017-04-26,35,15
2017-04-27,37,14
2017-04-28,45,10
2017-04-29,52,4
2017-04-30,21,10
2017-05-01,27,18
2017-05-02,43,11
2017-05-03,28,12
2017-05-04,38,12
2017-05-05,35,11
2017-05-06,30,4
2017-05-07,31,9
2017-05-08,29,15
2017-05-09,31,13
2017-05-10,31,7
2017-05-11,25,9
2017-05-12,26,9
2017-05-13,31,5
2017-05-14,39,13
2017-05-15,33,13
2017-05-16,37,17
2017-05-17,46,16
2017-05-18,59,12
2017-05-19,49,4
2017-05-20,29,5
2017-05-21,34,12
2017-05-22,33,14
2017-05-23,36,14
2017-05-24,40,13
2017-05-25,23,9
2017-05-26,29,6
2017-05-27,25,7
2017-05-28,40,5
2017-05-29,29,11
2017-05-30,35,11
2017-05-31,35,16
2017-06-01,33,12
2017-06-02,36,9
2017-06-03,36,6
2017-06-04,32,9
2017-06-05,21,6
2017-06-06,22,12
2017-06-07,33,15
2017-06-08,48,15
2017-06-09,31,11
2017-06-10,57,7
2017-06-11,60,17
2017-06-12,64,15
2017-06-13,63,8
2017-06-14,39,10
2017-06-15,41,8
2017-06-16,33,15
2017-06-17,35,3
2017-06-18,19,5
2017-06-19,40,9
2017-06-20,18,14
2017-06-21,37,11
2017-06-22,35,13
2017-06-23,47,6
2017-06-24,42,6
2017-06-25,32,11
2017-06-26,39,15
2017-06-27,50,7
2017-06-28,40,8
2017-06-29,50,10
2017-06-30,54,3
2017-07-01,44,3
2017-07-02,35,6
2017-07-03,35,8
2017-07-04,54,10
2017-07-05,64,6
2017-07-06,37,11
2017-07-07,33,8
2017-07-08,40,3
2017-07-09,32,9
2017-07-10,48,11
2017-07-11,43,12
2017-07-12,54,7
2017-07-13,46,7
2017-07-14,29,7
2017-07-15,38,6
2017-07-16,29,10
2017-07-17,36,9
2017-07-18,36,10
2017-07-19,37,16
2017-07-20,53,13
2017-07-21,46,12
2017-07-22,54,3
2017-07-23,32,6
2017-07-24,20,9
2017-07-25,32,9
2017-07-26,41,10
2017-07-27,32,10
2017-07-28,34,7
2017-07-29,34,6
2017-07-30,30,11
2017-07-31,39,11
2017-08-01,52,14
2017-08-02,52,13
2017-08-03,41,9
2017-08-04,29,5
2017-08-05,11,4
2017-08-06,24,12
2017-08-07,42,10
2017-08-08,28,13
2017-08-09,50,14
2017-08-10,54,12
2017-08-11,41,8
