date, pm25, pm10, o3, no2, so2, co
2022/1/8, 45, , 24, 17, 1, 4
2022/1/9, 49, , 30, 11, 1, 3
2022/1/10, 36, , 26, 9, , 3
2022/1/11, 23, , 25, 11, , 3
2022/1/12, 53, , 25, 19, 1, 4
2022/1/13, 50, , 14, 27, 1, 6
2022/1/14, 62, , 28, 17, 1, 4
2022/1/15, 51, , 26, 7, 1, 2
2022/1/16, 26, , 25, 19, 1, 3
2022/1/17, 31, , 32, 5, 1, 2
2022/1/18, 37, , 26, 10, 1, 2
2022/1/19, 19, , 28, 14, 1, 3
2022/1/20, 29, , 27, 16, 1, 3
2022/1/21, 45, , 26, 16, 1, 2
2022/1/22, 30, , 25, 19, 1, 3
2022/1/23, 44, , 24, 17, 1, 4
2022/1/24, 67, , 20, 18, 1, 3
